,time,temperature_2m,relative_humidity_2m,pressure_msl,wind_speed_10m,precipitation
164,2024-11-16T20:00,4.4,93,1021.1,2.8,0.0
165,2024-11-16T21:00,4.3,94,1021.1,3.3,0.0
166,2024-11-16T22:00,5.2,92,1021.0,5.3,0.0
167,2024-11-16T23:00,5.6,91,1020.9,4.9,0.0
168,2024-11-17T00:00,6.1,89,1020.9,6.5,0.0
169,2024-11-17T01:00,7.3,88,1020.9,7.5,0.1
170,2024-11-17T02:00,6.9,90,1020.6,7.3,0.0
171,2024-11-17T03:00,6.3,94,1020.2,8.4,0.0
172,2024-11-17T04:00,5.8,95,1019.9,8.6,0.0
173,2024-11-17T05:00,6.0,95,1019.5,9.5,0.0
174,2024-11-17T06:00,6.9,93,1019.3,10.5,0.0
175,2024-11-17T07:00,8.0,91,1019.2,10.7,0.0
176,2024-11-17T08:00,8.9,91,1019.6,12.3,0.1
177,2024-11-17T09:00,9.9,91,1019.9,11.8,0.0
178,2024-11-17T10:00,10.7,91,1020.0,9.3,0.0
179,2024-11-17T11:00,11.6,87,1020.2,10.7,0.2
180,2024-11-17T12:00,11.9,82,1019.7,11.9,0.1
181,2024-11-17T13:00,12.0,81,1019.7,12.2,0.0
182,2024-11-17T14:00,11.9,75,1019.5,12.1,0.0
183,2024-11-17T15:00,11.3,78,1019.5,11.2,0.0
184,2024-11-17T16:00,10.3,83,1019.6,8.3,0.0
185,2024-11-17T17:00,9.4,86,1019.7,7.8,0.0
186,2024-11-17T18:00,8.9,87,1020.0,8.3,0.0
187,2024-11-17T19:00,8.4,87,1020.1,9.4,0.0
188,2024-11-17T20:00,7.9,87,1020.1,10.4,0.0
189,2024-11-17T21:00,7.4,88,1020.1,11.0,0.0
190,2024-11-17T22:00,7.2,89,1020.0,10.9,0.0
191,2024-11-17T23:00,6.8,90,1020.1,10.7,0.0
192,2024-11-18T00:00,6.7,91,1019.6,10.4,0.0
193,2024-11-18T01:00,6.5,92,1019.3,10.9,0.0
194,2024-11-18T02:00,6.8,92,1019.0,10.9,0.0
195,2024-11-18T03:00,7.0,92,1018.6,11.8,0.0
196,2024-11-18T04:00,7.1,92,1018.0,11.6,0.0
197,2024-11-18T05:00,7.2,93,1017.5,11.7,0.0
198,2024-11-18T06:00,7.8,93,1017.4,12.1,0.1
199,2024-11-18T07:00,8.7,92,1017.1,12.2,0.1
200,2024-11-18T08:00,9.2,91,1017.0,13.4,0.0
201,2024-11-18T09:00,9.9,90,1017.0,14.5,0.0
202,2024-11-18T10:00,10.8,88,1016.8,15.4,0.0
203,2024-11-18T11:00,12.2,84,1016.6,13.9,0.0
204,2024-11-18T12:00,13.0,80,1016.0,21.9,0.1
205,2024-11-18T13:00,11.9,89,1015.7,15.4,0.2
206,2024-11-18T14:00,11.7,91,1015.2,15.9,0.5
207,2024-11-18T15:00,11.6,93,1014.7,14.8,0.4
208,2024-11-18T16:00,11.4,95,1014.3,15.3,0.4
209,2024-11-18T17:00,11.1,95,1013.8,15.2,0.3
210,2024-11-18T18:00,10.9,96,1013.3,16.6,0.3
211,2024-11-18T19:00,10.9,95,1012.9,17.9,0.5
212,2024-11-18T20:00,11.0,95,1012.3,18.6,0.3
213,2024-11-18T21:00,10.9,95,1011.9,20.2,0.6
214,2024-11-18T22:00,10.9,94,1011.5,20.0,0.4
215,2024-11-18T23:00,10.8,94,1011.0,20.4,0.5
216,2024-11-19T00:00,11.0,94,1010.1,20.4,0.4
217,2024-11-19T01:00,11.0,93,1009.6,21.6,2.0
218,2024-11-19T02:00,11.2,92,1008.7,22.5,0.0
219,2024-11-19T03:00,11.4,92,1007.7,22.6,0.0
220,2024-11-19T04:00,11.2,92,1007.0,21.3,0.0
221,2024-11-19T05:00,11.5,92,1006.1,23.5,0.8
222,2024-11-19T06:00,11.7,91,1005.7,23.2,0.2
223,2024-11-19T07:00,12.1,90,1005.4,22.2,0.0
224,2024-11-19T08:00,12.2,89,1005.1,21.6,0.2
225,2024-11-19T09:00,12.3,87,1004.9,23.4,0.3
226,2024-11-19T10:00,12.3,91,1004.6,23.7,0.3
227,2024-11-19T11:00,13.3,87,1004.4,23.4,0.1
228,2024-11-19T12:00,13.0,83,1003.6,22.9,0.1
229,2024-11-19T13:00,12.7,89,1002.3,24.4,1.0
230,2024-11-19T14:00,12.1,92,1001.6,25.1,1.3
